brand,rating
Pine Creek,6.0
Pine Creek,7.0
Pine Creek,6.0
Pine Creek,7.0
Pine Creek,5.0
Pine Creek,6.0
Pine Creek,7.0
Pine Creek,6.0
Pine Creek,7.0
Pine Creek,5.0
Saint Jude's,3.0
Saint Jude's,4.0
Saint Jude's,5.0
Saint Jude's,3.0
Saint Jude's,4.0
Saint Jude's,3.0
Saint Jude's,4.0
Saint Jude's,3.0
Saint Jude's,3.0
Saint Jude's,4.0
Northern Napa,3.0
Northern Napa,4.0
Northern Napa,4.0
Northern Napa,2.0
Northern Napa,3.0
Northern Napa,3.0
Northern Napa,2.0
Northern Napa,4.0
Northern Napa,3.0
Northern Napa,2.0
Seven Winds,5.0
Seven Winds,4.0
Seven Winds,5.0
Seven Winds,4.0
Seven Winds,4.0
Seven Winds,3.0
Seven Winds,5.0
Seven Winds,5.0
Seven Winds,3.0
Seven Winds,4.0
Eternal Valley,3.0
Eternal Valley,4.0
Eternal Valley,3.0
Eternal Valley,2.0
Eternal Valley,4.0
Eternal Valley,2.0
Eternal Valley,3.0
Eternal Valley,3.0
Eternal Valley,4.0
Eternal Valley,2.0
